batch_year,college,source_file,company_name,job_role,placement_tier,internship_stipend,base_salary,total_ctc,num_offers_fte,num_offers_intern,num_offers_both,test_date,interview_date,ppt_date,additional_info,stocks_esops,joining_bonus,cgpa_cutoff,visit_date,oa_date,placement_type,num_offers_total,allows_ece,allows_mca,allows_mtech,has_internship,has_stocks,has_joining_bonus,salary_category,role_type,academic_year
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Confluent,Data Infra,Internship-Spring,,,,,,,,,,Performance Based FTE,,,,,,,,,,,False,False,False,,Other,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Makemytrip,Software Engineer,Internship-Spring,,,,,,,,,,"Performance Based FTE,Shortlisted 7.95+",,,7.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Nvidia,System Software Intern | Hardware Engineering Intern,Internship-Spring,,,,,,,,,,Performance Based FTE+(Came again for women for S/W role and NEXT Program for H/W role),,,8.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Siemens Eda,Member Of Technical Staff,Internship-Spring,,,,,,,,,,Performance Based FTE,,,8.0,,,,,,,,False,False,False,,Other,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Sap Labs,Associate Developer|DevOps|Support|QA,Internship-Spring,,,,,,,,,,"Performance Based FTE,They shortlisted 8+",,,7.0,,,,,,,,False,False,False,,SDE-Test,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Samsung Semiconductors,Software Engineer,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Zynga,Software Engineer,Internship-Spring,,,,,,,,,,"Only Internship,Shortlisted 7.5+",,,,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Intel,Intern,Internship-Spring,,,,,,,,,,"Offered as Tie-Up with CIE,Resume Based Shortlisting",,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Juniper Networks,Software Engineer Intern,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.5,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Samsung Electronics,Software R&D Intern,Internship-Spring,,,,,,,,,,Only Internship+Shortlisted 8.5+,,,7.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Intel,Software Engineer Intern,Internship-Spring,,,,,,,,,,Performance Based FTE+Resume Based Shortlisting,,,8.5,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,At&T,Technical Intern,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.5,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Endor Labs,Intern,Internship-Spring,,,,,,,,,,"Performance Based FTE,Shortlisted by taking avg of 10th,12th and CGPA,8.85+ cutoff ",,,8.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Garrett Motion,Engg IT,Internship-Spring,,,,,,,,,,Performance Based FTE,,,8.0,,,,,,,,False,False,False,,Other,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Infoblox,Software Engineer Intern,Internship-Spring,,,,,,,,,,Internship Only,,,7.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Keysight,"Connectivity,SDET,R&D,Dev (1,2,3),IT,Simulation ROQ,SE (1,2),MST-LC,Hema",Internship-Spring,,,,,,,,,,Performance Based FTE+8.5 CGPA Cutoff,,,7.5,,,,,,,,False,False,False,,SDE-Test,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Miq Digital,"AI,Analytics,Product Analytics",Internship-Spring,,,,,,,,,,Performance Based FTE,,,,,,,,,,,False,False,False,,Other,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Walmart,SDE Intern,Internship-Spring,,,,,,,,,,Internship Only,,,7.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Bnp Paribas,Application Development,Internship-Spring,,,,,,,,,,Internship Only,,,6.5,,,,,,,,False,False,False,,Other,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Drongo Ai,Intern,Internship-Spring,,,,,,,,,,Internship Only,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Gsk Gcc,D&T Intern,Internship-Spring,,,,,,,,,,Performance Based FTE,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Alcon India,"Business Analysis, Data Scientists, Business Intelligence",Internship-Spring,,,,,,,,,,Internship Only,,,,,,,,,,,False,False,False,,Data Analyst,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,F5 Innovation,Software Engineer-1,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Udaan,INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Groww,SDE Intern - Backend,Internship-Spring,,,,,,,,,,Performance Based FTE+Shortlisted 8+,,,7.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Scaler,Business Development Trainee,Internship-Spring,,,,,,,,,,Internship Only,,,,,,,,,,,False,False,False,,Business Analyst,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Digicert,"ASE,QA,DEV BACKEND,FRONTEND,UX DESIGNER",Internship-Spring,,,,,,,,,,Internship Only,,,7.0,,,,,,,,False,False,False,,Other,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Q2,INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Uidai,INTERN,Internship-Spring,,,,,,,,,,Internship Only,,,6.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Quicken,INTERN,Internship-Spring,,,,,,,,,,Internship Only,,,7.5,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Astr Defense Pvt Ltd,COMPUTER VISION INTERN,Internship-Spring,,,,,,,,,,Internship Only,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Aptos,SOFTWARE INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,L7 India,INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.5,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Philips,"SOFTWARE,CYBERSECURITY,ELECTRONICS,PROJECT MANAGEMENT",Internship-Spring,,,,,,,,,,nan,,,7.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Target,TECH INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,6.5,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Victoria Secret,DATA SCIENCE INTERN,Internship-Spring,,,,,,,,,,nan,,,6.0,,,,,,,,False,False,False,,Data Scientist,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Triomics,INTERN,Internship-Spring,,,,,,,,,,Internship Only,,,8.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Rattle,SOFTWARE ENGINEER INTERN,Internship-Spring,,,,,,,,,,Internship Only,,,,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Matrecomm,SOFTWARE DEVELOPER INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,8.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Flatworld,INTERN,Internship-Spring,,,,,,,,,,Internship Only,,,7.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Biocliq,Deep Learning Intern,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.5,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Meritic,SDE,Internship-Spring,,,,,,,,,,Performance Based FTE,,,,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Iqvia,INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Cmti,INTERN,Internship-Spring,,,,,,,,,,Internship Only,,,7.75,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Medibuddy,INTERN,Internship-Spring,,,,,,,,,,Internship Only+Shortlisted 8+,,,7.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Progress Residential,"SE SRE,FS,RPA,SALESFORCE,DATA ENGG,DATA ANALYST INTERN",Internship-Spring,,,,,,,,,,Internship Only,,,,,,,,,,,False,False,False,,Data Analyst,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Hakimo.Ai,INTERN,Internship-Spring,,,,,,,,,,Resume Based Shortlist,,,7.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Ab Inbev,INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,8.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Cbx1,SOFTWARE INTERN,Internship-Spring,,,,,,,,,,nan,,,7.0,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Saaspay,PROGRAM MANAGEMENT INTERN,Internship-Spring,,,,,,,,,,"90% in 10th,80% in 12th",,,8.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Allo Health,INTERN,Internship-Spring,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Bigbasket,LEAD GENERATION INTERN,Internship-Spring,,,,,,,,,,nan,,,7.5,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Fluidyn,SOFTWARE DEVELOPMENT INTERN,Internship-Spring,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Byjus,INSIDE SALES INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Propheus.Ai,ENGINEERING/DATA SCIENCE INTERN,Internship-Spring,,,,,,,,,,Resume Based Shortlisting,,,,,,,,,,,False,False,False,,SDE-Data,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Optiv,CYBER STRATEGY INTERN,Internship-Spring,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Equinix,SERVICENOW INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Argoid.Ai,DATA SCIENCE/JAVA INTERN,Internship-Spring,,,,,,,,,,Internship Only,,,7.5,,,,,,,,False,False,False,,Data Scientist,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Rohde And Schwarz,INTERN,Internship-Spring,,,,,,,,,,Internship Only+2 years Bond,,,8.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Metalmann,Mobile App Developer - Android,Internship-Spring,,,,,,,,,,Performance Based FTE+Resume Based Shortlisting,,,,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Covrzy,FOUNDER'S OFFCICE INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Origin Medical,PRODUCT ANALYST,Internship-Spring,,,,,,,,,,Internship Only,,,,,,,,,,,False,False,False,,Business Analyst,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Confidential,INTERN,Internship-Spring,,,,,,,,,,Internship Only,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Finvolv,SOFTWARE ENGINEER INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE+85% in Boards,,,8.5,,,,,,,,False,False,False,,SDE-Core,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Rakuten,TECHNICAL INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Foundit,Content writer Intern,Internship-Spring,,,,,,,,,,Internship Only,,,,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Intrnforte,Business development intern,Internship-Spring,,,,,,,,,,Internship Only,,,7.0,,,,,,,,False,False,False,,Business Analyst,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Unisys,INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Msg Global,INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Blockmagix,INTERN,Internship-Spring,,,,,,,,,,Performance Based FTE,,,7.0,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
2024,PES,PESU CSE Placements 2024 - Spring Internships.csv,Hypergro.Ai,PRODUCT DESIGN INTERN,Internship-Spring,,,,,,,,,,Internship Only,,,7.5,,,,,,,,False,False,False,,Intern/Trainee,2020-2024
